NUMTIC,CAJA,NUMCAJ,CAJLINEA,CODIGO,DESCRI,CANTIDAD,PRECIO,DTO,IVA,TOTLIN,COCINA,NOTAS,CANTSTOCK,TIPOLIN,CODCOMBI,COMCANSTK,CANCOCINA,year_file
6833,001,00100006833,001000000014596,10254,cuñape 0.50,1.0,0.5,0.0,10.0,0.5,,,0.0,,,1.0,,2021
6834,001,00100006834,001000000014597,10254,cuñape 0.50,1.0,0.5,0.0,10.0,0.5,,,0.0,,,1.0,,2021
6835,001,00100006835,001000000014598,1,E. POLLO,1.0,1,0.0,10.0,1,,,0.0,,,1.0,,2021
6836,001,00100006836,001000000014599,1,E. POLLO,5.0,1,0.0,10.0,5,,,0.0,,,1.0,,2021
6837,001,00100006837,001000000014600,1,E. POLLO,2.0,1,0.0,10.0,2,,,0.0,,,1.0,,2021
6838,001,00100006838,001000000014601,9,Salteña,1.0,1.5,0.0,10.0,1.5,,,0.0,,,1.0,,2021
6839,001,00100006839,001000000014602,1,E. POLLO,1.0,1,0.0,10.0,1,,,0.0,,,1.0,,2021
6840,001,00100006840,001000000014604,1,E. POLLO,1.0,1,0.0,10.0,1,,,0.0,,,1.0,,2021
6841,001,00100006841,001000000014605,9,Salteña,1.0,1.5,0.0,10.0,1.5,,,0.0,,,1.0,,2021
6842,001,00100006842,001000000014606,1,E. POLLO,1.0,1,0.0,10.0,1,,,0.0,,,1.0,,2021
6843,001,00100006843,001000000014607,1,E. POLLO,1.0,1,0.0,10.0,1,,,0.0,,,1.0,,2021
6844,001,00100006844,001000000014608,1,E. POLLO,1.0,1,0.0,10.0,1,,,0.0,,,1.0,,2021
6845,001,00100006845,001000000014609,1,E. POLLO,1.0,1,0.0,10.0,1,,,0.0,,,1.0,,2021
6846,001,00100006846,001000000014610,1,E. POLLO,1.0,1,0.0,10.0,1,,,0.0,,,1.0,,2021
6847,001,00100006847,001000000014611,10254,cuñape 0.50,1.0,0.5,0.0,10.0,0.5,,,0.0,,,1.0,,2021
6848,001,00100006848,001000000014612,10254,cuñape 0.50,1.0,0.5,0.0,10.0,0.5,,,0.0,,,1.0,,2021
6849,001,00100006849,001000000014613,10254,cuñape 0.50,1.0,0.5,0.0,10.0,0.5,,,0.0,,,1.0,,2021
6850,001,00100006850,001000000014614,10254,cuñape 0.50,1.0,0.5,0.0,10.0,0.5,,,0.0,,,1.0,,2021
