NUMERO,CODCAJA,VENDEDOR,CODUSU,FECHA,HORA,DESTIC,HASTIC,DESFAC,HASFAC,EFECTIVO,TARJETA,EFECBANCO,TTIC,TFAC,TTICPEN,DESMOV,HASMOV,TENTRADA,TSALIDA,ANSALDO,SALDO,BASEIMP1,IVA1,IMPIVA1,BASEIMP2,IVA2,IMPIVA2,BASEIMP3,IVA3,IMPIVA3,BASEIMP4,IVA4,IMPIVA4,COMENSALES,IMRECUENTO,CONTABILIZ,year_file
1,001,1,2,2021-01-05,19:34:20,6833,6858,0,0,32.5,6.5,0,39,0,0,0,0,0,0,30235.8,30268.3,0,21.0,0,35.43,10.0,3.57,0,4.0,0,0,0.0,0,0,0,False,2021
2,001,1,2,2021-01-06,18:02:19,6859,6909,0,0,89.4,11.6,0,101,0,0,0,0,0,0,30268.3,30357.7,0,21.0,0,91.81,10.0,9.19,0,4.0,0,0,0.0,0,0,0,False,2021
3,001,1,2,2021-01-07,19:10:36,6910,6966,0,0,118.1,0,0,118.1,0,0,0,0,0,0,30357.7,30475.8,0,21.0,0,107.31,10.0,10.79,0,4.0,0,0,0.0,0,0,0,False,2021
4,001,1,2,2021-01-08,17:44:49,6967,7008,0,0,54.2,40.8,0,95,0,0,0,0,0,0,30475.8,30530,0,21.0,0,86.36,10.0,8.64,0,4.0,0,0,0.0,0,0,0,False,2021
5,001,1,2,2021-01-09,18:22:54,7009,7059,0,0,73,8.5,0,81.5,0,0,0,0,0,0,30530,30603,0,21.0,0,74.09,10.0,7.41,0,4.0,0,0,0.0,0,0,0,False,2021
6,001,1,2,2021-01-10,16:46:40,7060,7090,0,0,109,7.5,0,116.5,0,0,0,0,0,0,30603,30712,0,21.0,0,105.91,10.0,10.59,0,4.0,0,0,0.0,0,0,0,False,2021
7,001,1,2,2021-01-11,16:58:45,7091,7116,0,0,94.5,0,0,94.5,0,0,0,0,0,0,30712,30806.5,0,21.0,0,85.91,10.0,8.59,0,4.0,0,0,0.0,0,0,0,False,2021
8,001,1,2,2021-01-12,18:20:31,7117,7156,0,0,160,0,0,160,0,0,0,0,0,0,30806.5,30966.5,0,21.0,0,145.47,10.0,14.53,0,4.0,0,0,0.0,0,0,0,False,2021
9,001,1,2,2021-01-13,16:51:25,7157,7180,0,0,114.1,0,0,114.1,0,0,0,0,0,0,30966.5,31080.6,0,21.0,0,103.7,10.0,10.4,0,4.0,0,0,0.0,0,0,0,False,2021
10,001,1,2,2021-01-15,15:42:44,7181,7198,0,0,73.4,0,0,73.4,0,0,0,0,0,0,31080.6,31154,0,21.0,0,66.75,10.0,6.65,0,4.0,0,0,0.0,0,0,0,False,2021
11,001,1,2,2021-01-16,15:57:42,7199,7229,0,0,80.4,0,0,80.4,0,0,0,0,0,0,31154,31234.4,0,21.0,0,73.08,10.0,7.32,0,4.0,0,0,0.0,0,0,0,False,2021
12,001,1,2,2021-01-17,17:25:42,7230,7263,0,0,120.4,0,0,120.4,0,0,0,0,0,0,31234.4,31354.8,0,21.0,0,109.46,10.0,10.94,0,4.0,0,0,0.0,0,0,0,False,2021
13,001,1,2,2021-01-19,17:14:23,7264,7281,0,0,56.2,0,0,56.2,0,0,0,0,0,0,31354.8,31411,0,21.0,0,51.11,10.0,5.09,0,4.0,0,0,0.0,0,0,0,False,2021
14,001,1,2,2021-01-20,19:05:08,7282,7306,0,0,66.6,0,0,66.6,0,0,0,0,0,0,31411,31477.6,0,21.0,0,60.54,10.0,6.06,0,4.0,0,0,0.0,0,0,0,False,2021
15,001,1,2,2021-01-21,18:02:52,7307,7329,0,0,75.7,0,0,75.7,0,0,0,0,0,0,31477.6,31553.3,0,21.0,0,68.84,10.0,6.86,0,4.0,0,0,0.0,0,0,0,False,2021
16,001,1,2,2021-01-22,20:26:10,7330,7353,0,0,61,0,0,61,0,0,0,0,0,0,31553.3,31614.3,0,21.0,0,55.48,10.0,5.52,0,4.0,0,0,0.0,0,0,0,False,2021
17,001,1,2,2021-01-23,18:33:26,7354,7388,0,0,145.7,0,0,145.7,0,0,0,0,0,0,31614.3,31760,0,21.0,0,132.46,10.0,13.24,0,4.0,0,0,0.0,0,0,0,False,2021
18,001,1,2,2021-01-24,17:18:40,7389,7419,0,0,125,0,0,125,0,0,0,0,0,0,31760,31885,0,21.0,0,113.65,10.0,11.35,0,4.0,0,0,0.0,0,0,0,False,2021
19,001,1,2,2021-01-25,14:50:37,7420,7429,0,0,31,0,0,31,0,0,0,0,0,0,31885,31916,0,21.0,0,28.18,10.0,2.82,0,4.0,0,0,0.0,0,0,0,False,2021
20,001,1,2,2021-01-25,14:54:12,7430,7430,0,0,1,0,0,1,0,0,0,0,0,0,31916,31917,0,21.0,0,0.91,10.0,0.09,0,4.0,0,0,0.0,0,0,0,False,2021
21,001,1,2,2021-01-26,17:01:31,7431,7442,0,0,41.5,0,0,41.5,0,0,0,0,0,0,31917,31958.5,0,21.0,0,37.75,10.0,3.75,0,4.0,0,0,0.0,0,0,0,False,2021
22,001,1,2,2021-01-27,16:45:21,7443,7473,0,0,91.3,0,0,91.3,0,0,0,0,0,0,31958.5,32049.8,0,21.0,0,83.02,10.0,8.28,0,4.0,0,0,0.0,0,0,0,False,2021
23,001,1,2,2021-01-28,18:26:37,7474,7489,0,0,36.5,0,0,36.5,0,0,0,0,0,0,32049.8,32086.3,0,21.0,0,33.19,10.0,3.31,0,4.0,0,0,0.0,0,0,0,False,2021
24,001,1,2,2021-01-29,16:34:14,7490,7510,0,0,52.5,0,0,52.5,0,0,0,0,0,0,32086.3,32138.8,0,21.0,0,47.75,10.0,4.75,0,4.0,0,0,0.0,0,0,0,False,2021
25,001,1,2,2021-01-30,15:26:42,7511,7540,0,0,118.9,0,0,118.9,0,0,0,0,0,0,32138.8,32257.7,0,21.0,0,108.08,10.0,10.82,0,4.0,0,0,0.0,0,0,0,False,2021
26,001,1,2,2021-02-02,16:27:01,7541,7558,0,0,49.5,0,0,49.5,0,0,0,0,0,0,32257.7,32307.2,0,21.0,0,45,10.0,4.5,0,4.0,0,0,0.0,0,0,0,False,2021
27,001,1,2,2021-02-03,14:56:33,7559,7574,0,0,58.9,0,0,58.9,0,0,0,0,0,0,32307.2,32366.1,0,21.0,0,53.56,10.0,5.34,0,4.0,0,0,0.0,0,0,0,False,2021
28,001,1,2,2021-02-04,14:44:40,7575,7590,0,0,72.2,0,0,72.2,0,0,0,0,0,0,32366.1,32438.3,0,21.0,0,65.63,10.0,6.57,0,4.0,0,0,0.0,0,0,0,False,2021
29,001,1,2,2021-02-05,17:21:17,7591,7612,0,0,55.5,0,0,55.5,0,0,0,0,0,0,32438.3,32493.8,0,21.0,0,50.49,10.0,5.01,0,4.0,0,0,0.0,0,0,0,False,2021
30,001,1,2,2021-02-06,15:50:14,7613,7638,0,0,75.8,0,0,75.8,0,0,0,0,0,0,32493.8,32569.6,0,21.0,0,68.89,10.0,6.91,0,4.0,0,0,0.0,0,0,0,False,2021
31,001,1,2,2021-02-08,15:06:11,7639,7651,0,0,36,0,0,36,0,0,0,0,0,0,32569.6,32605.6,0,21.0,0,32.75,10.0,3.25,0,4.0,0,0,0.0,0,0,0,False,2021
32,001,1,2,2021-02-10,17:43:49,7652,7659,0,0,21,0,0,21,0,0,0,0,0,0,32605.6,32626.6,0,21.0,0,19.11,10.0,1.89,0,4.0,0,0,0.0,0,0,0,False,2021
33,001,1,2,2021-02-11,17:09:17,7660,7680,0,0,92.5,0,0,92.5,0,0,0,0,0,0,32626.6,32719.1,0,21.0,0,84.07,10.0,8.43,0,4.0,0,0,0.0,0,0,0,False,2021
34,001,1,2,2021-02-12,17:11:06,7681,7702,0,0,71,0,0,71,0,0,0,0,0,0,32719.1,32790.1,0,21.0,0,64.56,10.0,6.44,0,4.0,0,0,0.0,0,0,0,False,2021
35,001,1,2,2021-02-13,17:18:21,7703,7738,0,0,119.2,0,0,119.2,0,0,0,0,0,0,32790.1,32909.3,0,21.0,0,108.38,10.0,10.82,0,4.0,0,0,0.0,0,0,0,False,2021
36,001,1,2,2021-02-14,16:00:11,7739,7777,0,0,194.4,0,0,194.4,0,0,0,0,0,0,32909.3,33103.7,0,21.0,0,176.74,10.0,17.66,0,4.0,0,0,0.0,0,0,0,False,2021
37,001,1,2,2021-02-15,13:54:30,7778,7787,0,0,23.5,0,0,23.5,0,0,0,0,0,0,33103.7,33127.2,0,21.0,0,21.38,10.0,2.12,0,4.0,0,0,0.0,0,0,0,False,2021
38,001,1,2,2021-02-16,16:58:55,7788,7806,0,0,91.6,0,0,91.6,0,0,0,0,0,0,33127.2,33218.8,0,21.0,0,83.28,10.0,8.32,0,4.0,0,0,0.0,0,0,0,False,2021
39,001,1,2,2021-02-17,16:34:12,7807,7827,0,0,54.9,0,0,54.9,0,0,0,0,0,0,33218.8,33273.7,0,21.0,0,49.9,10.0,5,0,4.0,0,0,0.0,0,0,0,False,2021
40,001,1,2,2021-02-18,16:15:08,7828,7842,0,0,51,0,0,51,0,0,0,0,0,0,33273.7,33324.7,0,21.0,0,46.38,10.0,4.62,0,4.0,0,0,0.0,0,0,0,False,2021
41,001,1,2,2021-02-19,18:09:12,7843,7870,0,0,109.5,0,0,109.5,0,0,0,0,0,0,33324.7,33434.2,0,21.0,0,99.55,10.0,9.95,0,4.0,0,0,0.0,0,0,0,False,2021
42,001,1,2,2021-02-20,16:24:08,7871,7893,0,0,90,0,0,90,0,0,0,0,0,0,33434.2,33524.2,0,21.0,0,81.82,10.0,8.18,0,4.0,0,0,0.0,0,0,0,False,2021
43,001,1,2,2021-02-21,16:50:19,7894,7931,0,0,186.9,0,0,186.9,0,0,0,0,0,0,33524.2,33711.1,0,21.0,0,169.92,10.0,16.98,0,4.0,0,0,0.0,0,0,0,False,2021
44,001,1,2,2021-02-22,15:46:07,7932,7949,0,0,65,0,0,65,0,0,0,0,0,0,33711.1,33776.1,0,21.0,0,59.11,10.0,5.89,0,4.0,0,0,0.0,0,0,0,False,2021
45,001,1,2,2021-02-23,15:49:03,7950,7961,0,0,63.2,0,0,63.2,0,0,0,0,0,0,33776.1,33839.3,0,21.0,0,57.46,10.0,5.74,0,4.0,0,0,0.0,0,0,0,False,2021
46,001,1,2,2021-02-24,16:31:11,7962,7974,0,0,42.5,13,0,55.5,0,0,0,0,0,0,33839.3,33881.8,0,21.0,0,50.45,10.0,5.05,0,4.0,0,0,0.0,0,0,0,False,2021
47,001,1,2,2021-02-25,16:56:13,7975,8001,0,0,96.4,0,0,96.4,0,0,0,0,0,0,33881.8,33978.2,0,21.0,0,87.66,10.0,8.74,0,4.0,0,0,0.0,0,0,0,False,2021
48,001,1,2,2021-02-26,16:47:05,8002,8019,0,0,71.4,0,0,71.4,0,0,0,0,0,0,33978.2,34049.6,0,21.0,0,64.92,10.0,6.48,0,4.0,0,0,0.0,0,0,0,False,2021
49,001,1,2,2021-02-27,17:06:43,8020,8052,0,0,121.4,0,0,121.4,0,0,0,0,0,0,34049.6,34171,0,21.0,0,110.36,10.0,11.04,0,4.0,0,0,0.0,0,0,0,False,2021
50,001,1,2,2021-02-28,15:59:30,8053,8081,0,0,139.7,0,0,139.7,0,0,0,0,0,0,34171,34310.7,0,21.0,0,127,10.0,12.7,0,4.0,0,0,0.0,0,0,0,False,2021
51,001,1,2,2021-03-01,13:35:37,8082,8093,0,0,31,0,0,31,0,0,0,0,0,0,34310.7,34341.7,0,21.0,0,28.2,10.0,2.8,0,4.0,0,0,0.0,0,0,0,False,2021
52,001,1,2,2021-03-02,18:58:35,8094,8102,0,0,31,0,0,31,0,0,0,0,0,0,34341.7,34372.7,0,21.0,0,28.18,10.0,2.82,0,4.0,0,0,0.0,0,0,0,False,2021
53,001,1,2,2021-03-03,19:41:39,8103,8124,0,0,134.5,0,0,134.5,0,0,0,0,0,0,34372.7,34507.2,0,21.0,0,122.25,10.0,12.25,0,4.0,0,0,0.0,0,0,0,False,2021
54,001,1,2,2021-03-04,18:34:47,8125,8148,0,0,79.5,13.5,0,93,0,0,0,0,0,0,34507.2,34586.7,0,21.0,0,84.51,10.0,8.49,0,4.0,0,0,0.0,0,0,0,False,2021
55,001,1,2,2021-03-05,19:30:39,8149,8179,0,0,156.5,20,0,176.5,0,0,0,0,0,0,34586.7,34743.2,0,21.0,0,160.44,10.0,16.06,0,4.0,0,0,0.0,0,0,0,False,2021
56,001,1,2,2021-03-06,19:06:04,8180,8232,0,0,397.6,0,0,397.6,0,0,0,0,0,0,34743.2,35140.8,0,21.0,0,361.45,10.0,36.15,0,4.0,0,0,0.0,0,0,0,False,2021
57,001,1,2,2021-03-07,20:51:25,8233,8300,0,0,372.8,0,0,372.8,0,0,0,0,0,0,35140.8,35513.6,0,21.0,0,338.92,10.0,33.88,0,4.0,0,0,0.0,0,0,0,False,2021
58,001,1,2,2021-03-08,17:05:53,8301,8322,0,0,60.4,0,0,60.4,0,0,0,0,0,0,35513.6,35574,0,21.0,0,54.88,10.0,5.52,0,4.0,0,0,0.0,0,0,0,False,2021
59,001,1,2,2021-03-09,23:28:41,8323,8343,0,0,72.4,0,0,72.4,0,0,0,0,0,0,35574,35646.4,0,21.0,0,65.82,10.0,6.58,0,4.0,0,0,0.0,0,0,0,False,2021
60,001,1,2,2021-03-10,11:10:55,8344,8344,0,0,110,0,0,110,0,0,0,0,0,0,35646.4,35756.4,0,21.0,0,100,10.0,10,0,4.0,0,0,0.0,0,0,0,False,2021
61,001,1,2,2021-03-10,18:34:26,8345,8365,0,0,110.4,0,0,110.4,0,0,0,0,0,0,35756.4,35866.8,0,21.0,0,100.37,10.0,10.03,0,4.0,0,0,0.0,0,0,0,False,2021
62,001,1,2,2021-03-11,16:19:23,8366,8388,0,0,79.7,0,0,79.7,0,0,0,0,0,0,35866.8,35946.5,0,21.0,0,72.47,10.0,7.23,0,4.0,0,0,0.0,0,0,0,False,2021
63,001,1,2,2021-03-12,20:01:49,8389,8411,0,0,75.1,8,0,83.1,0,0,0,0,0,0,35946.5,36021.6,0,21.0,0,75.56,10.0,7.54,0,4.0,0,0,0.0,0,0,0,False,2021
64,001,1,2,2021-03-13,21:44:21,8412,8448,0,0,59.6,0,0,59.6,0,0,0,0,0,0,36021.6,36081.2,0,21.0,0,54.16,10.0,5.44,0,4.0,0,0,0.0,0,0,0,False,2021
65,001,1,2,2021-03-14,18:49:00,8449,8480,0,0,149.1,0,0,149.1,0,0,0,0,0,0,36081.2,36230.3,0,21.0,0,135.52,10.0,13.58,0,4.0,0,0,0.0,0,0,0,False,2021
66,001,1,2,2021-03-15,19:50:58,8481,8505,0,0,79,0,0,79,0,0,0,0,0,0,36230.3,36309.3,0,21.0,0,71.79,10.0,7.21,0,4.0,0,0,0.0,0,0,0,False,2021
67,001,1,2,2021-03-16,20:21:41,8506,8525,0,0,48.6,0,0,48.6,0,0,0,0,0,0,36309.3,36357.9,0,21.0,0,44.19,10.0,4.41,0,4.0,0,0,0.0,0,0,0,False,2021
68,001,1,2,2021-03-17,19:25:12,8526,8536,0,0,29.5,10,0,39.5,0,0,0,0,0,0,36357.9,36387.4,0,21.0,0,35.92,10.0,3.58,0,4.0,0,0,0.0,0,0,0,False,2021
69,001,1,2,2021-03-18,18:01:12,8537,8551,0,0,41.5,0,0,41.5,0,0,0,0,0,0,36387.4,36428.9,0,21.0,0,37.74,10.0,3.76,0,4.0,0,0,0.0,0,0,0,False,2021
70,001,1,2,2021-03-19,20:46:48,8552,8570,0,0,66.9,0,0,66.9,0,0,0,0,0,0,36428.9,36495.8,0,21.0,0,60.83,10.0,6.07,0,4.0,0,0,0.0,0,0,0,False,2021
71,001,1,2,2021-03-20,20:06:40,8571,8590,0,0,41.7,0,0,41.7,0,0,0,0,0,0,36495.8,36537.5,0,21.0,0,37.91,10.0,3.79,0,4.0,0,0,0.0,0,0,0,False,2021
72,001,1,2,2021-03-21,18:53:44,8591,8632,0,0,284.6,0,0,284.6,0,0,0,0,0,0,36537.5,36822.1,0,21.0,0,258.73,10.0,25.87,0,4.0,0,0,0.0,0,0,0,False,2021
73,001,1,2,2021-03-22,17:53:42,8633,8657,0,0,68.1,0,0,68.1,0,0,0,0,0,0,36822.1,36890.2,0,21.0,0,61.91,10.0,6.19,0,4.0,0,0,0.0,0,0,0,False,2021
74,001,1,2,2021-03-23,18:30:59,8658,8676,0,0,44.6,0,0,44.6,0,0,0,0,0,0,36890.2,36934.8,0,21.0,0,40.56,10.0,4.04,0,4.0,0,0,0.0,0,0,0,False,2021
75,001,1,2,2021-03-24,20:13:46,8677,8698,0,0,56.2,10,0,66.2,0,0,0,0,0,0,36934.8,36991,0,21.0,0,60.19,10.0,6.01,0,4.0,0,0,0.0,0,0,0,False,2021
76,001,1,2,2021-03-25,21:05:45,8699,8727,0,0,91.5,0,0,91.5,0,0,0,0,0,0,36991,37082.5,0,21.0,0,83.17,10.0,8.33,0,4.0,0,0,0.0,0,0,0,False,2021
77,001,1,2,2021-03-26,23:06:16,8728,8759,0,0,98,0,0,98,0,0,0,0,0,0,37082.5,37180.5,0,21.0,0,89.11,10.0,8.89,0,4.0,0,0,0.0,0,0,0,False,2021
78,001,1,2,2021-03-27,21:36:15,8760,8781,0,0,61.9,0,0,61.9,0,0,0,0,0,0,37180.5,37242.4,0,21.0,0,56.29,10.0,5.61,0,4.0,0,0,0.0,0,0,0,False,2021
79,001,1,2,2021-03-28,22:25:27,8782,8830,0,0,311,0,0,311,0,0,0,0,0,0,37242.4,37553.4,0,21.0,0,282.72,10.0,28.28,0,4.0,0,0,0.0,0,0,0,False,2021
80,001,1,2,2021-03-29,19:47:47,8831,8870,0,0,145,0,0,145,0,0,0,0,0,0,37553.4,37698.4,0,21.0,0,131.83,10.0,13.17,0,4.0,0,0,0.0,0,0,0,False,2021
81,001,1,2,2021-03-30,21:33:29,8871,8896,0,0,98.5,0,0,98.5,0,0,0,0,0,0,37698.4,37796.9,0,21.0,0,89.57,10.0,8.93,0,4.0,0,0,0.0,0,0,0,False,2021
82,001,1,2,2021-03-31,21:18:18,8897,8924,0,0,76.6,0,0,76.6,0,0,0,0,0,0,37796.9,37873.5,0,21.0,0,69.64,10.0,6.96,0,4.0,0,0,0.0,0,0,0,False,2021
83,001,1,2,2021-04-02,11:06:14,8925,8949,0,0,71.1,0,0,71.1,0,0,0,0,0,0,37873.5,37944.6,0,21.0,0,64.67,10.0,6.43,0,4.0,0,0,0.0,0,0,0,False,2021
84,001,1,2,2021-04-02,19:05:31,8950,8967,0,0,64.4,0,0,64.4,0,0,0,0,0,0,37944.6,38009,0,21.0,0,58.56,10.0,5.84,0,4.0,0,0,0.0,0,0,0,False,2021
85,001,1,2,2021-04-03,22:49:26,8968,9000,0,0,109.1,0,0,109.1,0,0,0,0,0,0,38009,38118.1,0,21.0,0,99.22,10.0,9.88,0,4.0,0,0,0.0,0,0,0,False,2021
86,001,1,2,2021-04-04,21:09:16,9001,9057,0,0,540,0,0,540,0,0,0,0,0,0,38118.1,38658.1,0,21.0,0,490.95,10.0,49.05,0,4.0,0,0,0.0,0,0,0,False,2021
87,001,1,2,2021-04-05,18:17:06,9058,9090,0,0,114.4,0,0,114.4,0,0,0,0,0,0,38658.1,38772.5,0,21.0,0,104.04,10.0,10.36,0,4.0,0,0,0.0,0,0,0,False,2021
88,001,1,2,2021-04-06,18:24:33,9091,9096,0,0,20.5,0,0,20.5,0,0,0,0,0,0,38772.5,38793,0,21.0,0,18.65,10.0,1.85,0,4.0,0,0,0.0,0,0,0,False,2021
89,001,1,2,2021-04-07,19:50:44,9097,9116,0,0,48.3,0,0,48.3,0,0,0,0,0,0,38793,38841.3,0,21.0,0,43.93,10.0,4.37,0,4.0,0,0,0.0,0,0,0,False,2021
90,001,1,2,2021-04-08,23:03:05,9117,9146,0,0,115.6,0,0,115.6,0,0,0,0,0,0,38841.3,38956.9,0,21.0,0,105.11,10.0,10.49,0,4.0,0,0,0.0,0,0,0,False,2021
91,001,1,2,2021-04-09,20:07:43,9147,9176,0,0,107.1,0,0,107.1,0,0,0,0,0,0,38956.9,39064,0,21.0,0,97.39,10.0,9.71,0,4.0,0,0,0.0,0,0,0,False,2021
