CODIGO,DESCRI,AMPDES,BARRAS,FAMILIA,MODELO,TALLA,COLOR,PROMOC,IVA,IVACOM,COMIS,PROVEE,REFPROV,FEUCOM,PUCOM,PMCOM,CANPMC,PMVEN,CANPMV,FECALT,PVP,PVPDTO,DTO1,DTO2,DTO3,DTO4,DTO5,TARIFA1,TARIFA2,TARIFA3,TARIFA4,TARIFA5,TIPARTICUL,BLOQUEO,FULTVEN,FULTCOM,STOCK,STMIN,STMAX,IMAGEN,UBICACION,CTAVENTA,CTACOMPRA,PVPCI,TARIFA1CI,TARIFA2CI,TARIFA3CI,TARIFA4CI,TARIFA5CI,BENEFPVP,BENEFTAR1,BENEFTAR2,BENEFTAR3,BENEFTAR4,BENEFTAR5,TIPOBENEF,MINVARPOR,IMPRECOM,VISUTPV,DESCRITPV,PROPORCION,VENTAPESO,COMPUESTO,COMPONENTE,COMBINADO,FAMCOMBI,year_file
1,E. POLLO,,,1,,,,,2,1,0.0,,,,,,,,,2020-05-31,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.91,0.91,0.91,0.91,0.91,1,,,,,,,IMÁGENES MESÓN DE LUCY\MASA\E. POLLO.JPG,,70000000,60000000,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,1.0,0.0,,True,E. POLLO,,False,,,1,,2020
2,E. queso,,,1,,,,,2,1,0.0,,,,,,,,,2020-05-31,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.91,0.91,0.91,0.91,0.91,1,,,,,,,IMÁGENES MESÓN DE LUCY\MASA\E. QUESO.JPG,,70000000,60000000,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,1.0,0.0,,True,E. queso,,False,,,1,,2020
3,E. arroz,,,1,,,,,2,1,0.0,,,,,,,,,2020-05-31,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.91,0.91,0.91,0.91,0.91,1,,,,,,,IMÁGENES MESÓN DE LUCY\MASA\E. ARROZ.JPG,,70000000,60000000,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,1.0,0.0,,True,E. arroz,,False,,,1,,2020
4,E. maiz,,,1,,,,,2,1,0.0,,,,,,,,,2020-05-31,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.91,0.91,0.91,0.91,0.91,1,,,,,,,IMÁGENES MESÓN DE LUCY\MASA\E. MAIZ.JPG,,70000000,60000000,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,1.0,0.0,,True,E. maiz,,False,,,1,,2020
5,Cuñape,,,1,,,,,2,1,0.0,,,,,,,,,2020-05-31,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.91,0.91,0.91,0.91,0.91,1,,,,,,,IMÁGENES MESÓN DE LUCY\MASA\CUÑAPE.JPG,,70000000,60000000,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,1.0,0.0,,True,Cuñape,,False,,,1,,2020
6,R.queso,,,1,,,,,2,1,0.0,,,,,,,,,2020-05-31,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.91,0.91,0.91,0.91,0.91,1,,,,,,,IMÁGENES MESÓN DE LUCY\MASA\R. QUESO.JPG,,70000000,60000000,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,1.0,0.0,,True,R.queso,,False,,,1,,2020
9,Salteña,,,1,,,,,2,1,0.0,,,,,,,,,2020-05-31,1.36,0.0,0.0,0.0,0.0,0.0,0.0,1.36,1.36,1.36,1.36,1.36,1,,,,,,,IMÁGENES MESÓN DE LUCY\MASA\SALTEÑAS.JPG,,70000000,60000000,1.5,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,1.0,0.0,,True,Salteña,,False,,,1,,2020
20,B. platano,,,2,,,,,2,1,0.0,,,,,,,,,2020-05-31,1.82,0.0,0.0,0.0,0.0,0.0,0.0,2.27,2.27,2.27,2.27,2.27,1,,,,,,,IMÁGENES MESÓN DE LUCY\BATIDOS\B. PLÁTANO.JPG,,70000000,60000000,2.0,2.5,2.5,2.5,2.5,2.5,0,0,0,0,0,0,1.0,0.0,,True,B. platano,,False,,,1,,2020
21,B.fresa,,,2,,,,,2,1,0.0,,,,,,,,,2020-05-31,1.82,0.0,0.0,0.0,0.0,0.0,0.0,2.27,2.27,2.27,2.27,2.27,1,,,,,,,IMÁGENES MESÓN DE LUCY\BATIDOS\B. FRESA.JPG,,70000000,60000000,2.0,2.5,2.5,2.5,2.5,2.5,0,0,0,0,0,0,1.0,0.0,,True,B.fresa,,False,,,1,,2020
22,B. melocón,,,2,,,,,2,1,0.0,,,,,,,,,2020-05-31,1.82,0.0,0.0,0.0,0.0,0.0,0.0,2.27,2.27,2.27,2.27,2.27,1,,,,,,,IMÁGENES MESÓN DE LUCY\BATIDOS\B. MELOCOTÓN.JPG,,70000000,60000000,2.0,2.5,2.5,2.5,2.5,2.5,0,0,0,0,0,0,1.0,0.0,,True,B. melocón,,False,,,1,,2020
30,Asadito yuca,,,3,,,,,2,1,0.0,,,,,,,,,2020-05-31,1.82,0.0,0.0,0.0,0.0,0.0,0.0,1.82,1.82,1.82,1.82,1.82,1,,,,,,,IMÁGENES MESÓN DE LUCY\COMIDAS\A. YUCA.JPG,,70000000,60000000,2.0,2.0,2.0,2.0,2.0,2.0,0,0,0,0,0,0,1.0,0.0,,True,Asadito yuca,,False,,,1,,2020
31,Panza frita,,,3,,,,,2,1,0.0,,,,,,,,,2020-05-31,2.73,0.0,0.0,0.0,0.0,0.0,0.0,2.73,2.73,2.73,2.73,2.73,1,,,,,,,IMÁGENES MESÓN DE LUCY\COMIDAS\PANZA F..JPG,,70000000,60000000,3.0,3.0,3.0,3.0,3.0,3.0,0,0,0,0,0,0,1.0,0.0,,True,Panza frita,,False,,,1,,2020
