NUMTIC,NUMCAJ,CODIGO,DESCRI,CANTIDAD,PRECIO,year_file
1,100000001,1.0,E. POLLO,3.0,1.0,2020
2,100000002,1.0,E. POLLO,5.0,1.0,2020
3,100000003,1.0,E. POLLO,8.0,1.0,2020
4,100000004,1.0,E. POLLO,1.0,1.0,2020
5,100000005,1.0,E. POLLO,5.0,1.0,2020
6,100000006,2.0,E. queso,1.0,1.0,2020
6,100000006,1.0,E. POLLO,1.0,1.0,2020
7,100000007,1.0,E. POLLO,1.0,1.0,2020
7,100000007,2.0,E. queso,1.0,1.0,2020
7,100000007,3.0,E. arroz,1.0,1.0,2020
7,100000007,4.0,E. maiz,1.0,1.0,2020
7,100000007,5.0,CUÑAPE,1.0,1.0,2020
7,100000007,6.0,R.queso,1.0,1.0,2020
7,100000007,7.0,Alfajores,1.0,1.0,2020
7,100000007,8.0,Bizcocho,1.0,1.0,2020
7,100000007,9.0,Salteña,1.0,1.5,2020
8,100000008,1.0,E. POLLO,1.0,1.0,2020
8,100000008,3.0,E. arroz,1.0,1.0,2020
8,100000008,6.0,R.queso,1.0,1.0,2020
9,100000009,1.0,E. POLLO,1.0,1.0,2020
10,100000010,1.0,E. POLLO,5.0,1.0,2020
11,100000011,1.0,E. POLLO,15.0,1.0,2020
12,100000012,30.0,Asadito con yuca,1.0,2.0,2020
13,100000013,1.0,E. POLLO,1.0,1.0,2020
13,100000013,2.0,E. queso,1.0,1.0,2020
14,100000014,5.0,Cuñape,6.0,1.0,2020
14,100000014,6.0,R.queso,6.0,1.0,2020
14,100000014,3.0,E. arroz,20.0,1.0,2020
14,100000014,1.0,E. POLLO,3.0,1.0,2020
15,100000015,138.0,bocadillo lo,1.0,3.0,2020
15,100000015,76.0,Quinto,1.0,1.0,2020
16,100000016,,bocadillo de lomo,1.0,3.0,2020
16,100000016,76.0,Quinto,2.0,1.0,2020
17,100000017,,Menú,1.0,3.0,2020
18,100000018,,Menú,1.0,10.0,2020
19,100000019,218.0,Bizcocho,1.0,1.0,2020
19,100000019,214.0,Helados,1.0,1.0,2020
19,100000019,215.0,Tartas,1.0,10.0,2020
21,100000021,1.0,E. POLLO,2.0,1.0,2020
22,100000022,30.0,Asadito yuca,1.0,2.0,2020
22,100000022,33.0,Fricase,1.0,4.0,2020
22,100000022,32.0,Sopa de Mani,2.0,4.0,2020
23,100000023,30.0,Asadito yuca,1.0,2.0,2020
23,100000023,31.0,Panza frita,1.0,3.0,2020
23,100000023,33.0,Fricase,1.0,4.0,2020
24,100000024,38.0,Meú,1.0,7.0,2020
25,100000025,171.0,solo,3.0,1.0,2020
26,100000026,139.0,Salpicon,1.0,3.0,2020
26,100000026,171.0,solo,2.0,1.0,2020
27,100000027,2.0,E. queso,2.0,1.0,2020
27,100000027,9.0,Salteña,2.0,1.5,2020
27,100000027,2.0,E. queso,1.0,1.0,2020
28,100000028,172.0,Cortado/Manchado,1.0,1.0,2020
29,100000029,38.0,Meú,1.0,7.0,2020
30,100000030,52.0,Refresco,2.0,1.5,2020
32,100000032,52.0,Refresco,1.0,1.5,2020
32,100000032,171.0,solo,1.0,1.0,2020
33,100000033,1.0,E. POLLO,10.0,1.0,2020
34,100000034,30.0,Asadito yuca,2.0,2.0,2020
34,100000034,50.0,Agua p.,2.0,1.0,2020
35,100000035,1.0,E. POLLO,5.0,1.0,2020
31,100000031,30.0,Asadito yuca,2.0,2.0,2020
31,100000031,9.0,Salteña,1.0,1.5,2020
31,100000031,6.0,R.queso,1.0,1.0,2020
31,100000031,52.0,Refresco,1.0,1.5,2020
31,100000031,32.0,Sopa de Mani,1.0,4.0,2020
