FECHA,HORA,EFECTIVO,SALDO,year_file
2020-06-01,16:57:30,142.5,142.5,2020
2020-06-08,11:41:46,221.7,358.2,2020
2020-06-08,11:46:23,10.0,368.2,2020
2020-06-09,10:10:43,22.5,390.7,2020
2020-06-09,10:16:41,52.5,443.2,2020
2020-06-10,16:21:41,98.0,541.2,2020
2020-06-21,20:50:18,111.0,652.2,2020
2020-06-22,22:46:19,150.3,802.5,2020
2020-06-23,23:40:54,165.6,968.1,2020
2020-06-24,22:12:25,226.4,1194.5,2020
2020-06-26,00:04:26,177.7,1372.2,2020
2020-06-27,00:50:41,231.2,1603.4,2020
2020-06-28,00:52:39,249.1,1852.5,2020
2020-06-29,00:16:51,346.2,2198.7,2020
2020-06-29,23:02:53,245.9,2444.6,2020
2020-06-30,22:08:21,143.3,2587.9,2020
2020-07-02,00:06:51,79.6,2667.5,2020
2020-07-02,22:52:21,172.2,2839.7,2020
2020-07-04,00:10:32,88.0,2927.7,2020
2020-07-04,22:40:11,116.8,3044.5,2020
2020-07-05,20:53:08,136.1,3180.6,2020
2020-07-06,21:41:15,108.3,3288.9,2020
2020-07-07,22:04:49,49.2,3338.1,2020
2020-07-08,20:48:17,77.2,3415.3,2020
2020-07-09,23:45:47,146.2,3561.5,2020
2020-07-11,00:25:13,249.0,3810.5,2020
2020-07-11,23:43:27,215.8,4026.3,2020
2020-07-12,22:52:58,247.0,4273.3,2020
2020-07-13,22:15:05,119.2,4392.5,2020
2020-07-14,22:34:17,157.4,4549.9,2020
2020-07-15,23:28:56,119.2,4669.1,2020
2020-07-16,23:50:21,138.8,4807.9,2020
2020-07-17,23:39:15,179.8,4987.7,2020
2020-07-19,00:24:28,227.0,5214.7,2020
2020-07-19,23:22:18,120.8,5335.5,2020
2020-07-20,22:35:05,120.6,5456.1,2020
2020-07-21,23:43:46,185.4,5641.5,2020
2020-07-22,23:21:16,34.0,5675.5,2020
2020-07-23,23:49:57,224.0,5899.5,2020
2020-07-24,23:45:10,63.2,5962.7,2020
2020-07-25,23:42:59,200.2,6162.9,2020
2020-07-26,18:54:08,232.6,6395.5,2020
2020-07-27,21:47:07,122.7,6518.2,2020
2020-07-28,23:54:41,118.7,6636.9,2020
2020-07-29,23:59:57,93.0,6729.9,2020
2020-07-30,23:38:56,94.0,6823.9,2020
2020-08-01,00:02:13,103.5,6927.4,2020
2020-08-02,00:31:11,55.7,6983.1,2020
2020-08-02,22:53:54,224.6,7207.7,2020
2020-08-03,22:56:43,161.7,7369.4,2020
2020-08-05,00:34:19,11.9,7381.3,2020
2020-08-06,01:22:41,105.6,7486.9,2020
2020-08-07,00:55:44,54.5,7541.4,2020
2020-08-07,23:44:46,46.5,7587.9,2020
2020-08-09,01:16:51,50.2,7638.1,2020
2020-08-09,21:26:44,36.2,7674.3,2020
2020-08-10,20:54:13,85.1,7759.4,2020
2020-08-11,20:05:30,70.5,7829.9,2020
2020-08-13,00:00:54,4.4,7834.3,2020
2020-08-14,01:12:20,17.0,7851.3,2020
2020-08-15,01:13:54,21.0,7872.3,2020
2020-08-15,22:40:12,53.0,7925.3,2020
2020-08-16,21:52:15,16.2,7941.5,2020
2020-08-17,20:08:54,8.0,7949.5,2020
2020-08-18,19:33:07,37.5,7987.0,2020
2020-08-19,23:29:25,109.5,8096.5,2020
2020-08-20,23:17:09,199.2,8295.7,2020
2020-08-22,00:42:55,90.5,8386.2,2020
2020-08-22,22:18:30,143.7,8529.9,2020
2020-08-23,20:15:42,599.2,9129.1,2020
2020-08-24,20:04:12,219.5,9348.6,2020
2020-08-25,22:01:29,206.0,9554.6,2020
2020-08-26,22:37:20,161.2,9715.8,2020
2020-08-27,22:36:54,173.7,9889.5,2020
2020-08-28,23:29:20,190.8,10080.3,2020
2020-08-29,22:53:03,246.8,10327.1,2020
2020-08-30,21:47:43,661.2,10988.3,2020
2020-08-31,18:33:22,133.3,11121.6,2020
2020-09-01,18:46:49,56.9,11178.5,2020
2020-09-02,23:01:48,126.0,11304.5,2020
2020-09-03,22:42:57,116.4,11420.9,2020
2020-09-04,23:23:38,112.4,11533.3,2020
2020-09-05,22:45:07,179.5,11712.8,2020
2020-09-06,20:40:12,553.5,12266.3,2020
2020-09-07,19:42:40,116.2,12382.5,2020
2020-09-08,19:51:33,115.7,12498.2,2020
2020-09-09,22:58:15,77.9,12576.1,2020
2020-09-10,22:17:57,210.4,12786.5,2020
2020-09-11,22:53:33,166.0,12952.5,2020
2020-09-12,23:48:32,141.4,13093.9,2020
2020-09-13,21:42:01,352.4,13446.3,2020
2020-09-14,18:58:09,114.2,13560.5,2020
2020-09-15,20:44:26,100.4,13660.9,2020
2020-09-16,22:58:12,61.9,13722.8,2020
2020-09-17,22:46:48,120.7,13843.5,2020
2020-09-19,00:32:35,127.9,13971.4,2020
2020-09-19,23:49:05,258.5,14229.9,2020
2020-09-21,00:59:42,388.9,14618.8,2020
2020-09-22,00:51:04,133.6,14752.4,2020
2020-09-22,18:40:50,60.0,14812.4,2020
2020-09-23,21:27:26,166.5,14978.9,2020
2020-09-24,22:18:50,131.1,15110.0,2020
2020-09-25,23:36:34,63.7,15173.7,2020
2020-09-27,00:18:11,72.8,15246.5,2020
2020-09-27,18:39:42,513.1,15759.6,2020
2020-09-28,20:10:50,80.7,15840.3,2020
2020-09-29,21:49:36,83.7,15924.0,2020
2020-09-30,22:09:01,47.1,15971.1,2020
2020-10-01,23:14:14,94.6,16065.7,2020
2020-10-02,23:21:46,228.2,16293.9,2020
2020-10-03,22:33:33,352.4,16646.3,2020
2020-10-04,20:04:42,573.4,17219.7,2020
2020-10-05,20:10:56,148.3,17368.0,2020
2020-10-06,20:22:00,82.6,17450.6,2020
2020-10-07,21:53:12,273.9,17724.5,2020
2020-10-08,22:31:01,165.5,17890.0,2020
2020-10-09,23:35:20,87.5,17977.5,2020
2020-10-10,21:55:25,176.2,18153.7,2020
2020-10-11,20:06:16,724.3,18878.0,2020
2020-10-12,20:36:54,242.6,19120.6,2020
2020-10-13,19:45:24,128.3,19248.9,2020
2020-10-14,22:21:27,115.9,19364.8,2020
2020-10-15,21:30:30,125.2,19490.0,2020
2020-10-16,22:07:01,133.8,19623.8,2020
2020-10-17,20:18:26,102.0,19725.8,2020
2020-10-18,21:02:47,924.9,20650.7,2020
2020-10-19,18:22:28,137.1,20787.8,2020
2020-10-20,20:09:05,72.2,20860.0,2020
2020-10-21,20:19:18,111.2,20971.2,2020
2020-10-22,19:20:21,51.5,21022.7,2020
2020-10-23,19:37:02,53.2,21075.9,2020
2020-10-24,21:19:46,61.3,21137.2,2020
2020-10-25,18:03:42,896.4,22033.6,2020
2020-10-26,19:15:04,129.1,22162.7,2020
2020-10-27,18:27:30,43.5,22206.2,2020
2020-10-29,00:34:48,36.6,22242.8,2020
2020-11-11,21:06:22,14.7,22257.5,2020
2020-11-12,19:45:22,94.3,22351.8,2020
2020-11-13,19:49:01,92.6,22444.4,2020
2020-11-14,18:00:07,117.6,22562.0,2020
2020-11-15,17:54:03,189.4,22751.4,2020
2020-11-16,20:29:30,52.0,22803.4,2020
2020-11-17,17:38:29,86.7,22890.1,2020
2020-11-18,18:27:05,79.2,22969.3,2020
2020-11-19,18:57:40,45.0,23014.3,2020
2020-11-20,17:43:15,51.0,23065.3,2020
2020-11-21,17:27:54,170.0,23235.3,2020
2020-11-22,16:21:04,157.7,23393.0,2020
2020-11-23,16:11:17,401.2,23794.2,2020
2020-11-24,17:14:08,63.5,23857.7,2020
2020-11-25,16:37:13,71.5,23929.2,2020
2020-11-26,17:22:54,80.0,24009.2,2020
2020-11-27,16:09:44,83.1,24092.3,2020
2020-11-28,16:45:15,70.5,24162.8,2020
2020-11-29,16:39:17,179.5,24342.3,2020
2020-11-30,17:49:52,54.4,24396.7,2020
2020-12-01,16:30:12,83.2,24479.9,2020
2020-12-02,16:00:03,107.4,24587.3,2020
2020-12-03,17:39:07,60.0,24647.3,2020
2020-12-04,16:27:32,60.9,24708.2,2020
2020-12-05,16:42:17,167.1,24875.3,2020
2020-12-06,16:11:25,198.0,25073.3,2020
2020-12-07,18:08:16,42.0,25115.3,2020
2020-12-08,16:23:56,111.9,25227.2,2020
2020-12-09,21:05:38,174.2,25401.4,2020
2020-12-10,19:05:24,151.7,25553.1,2020
2020-12-11,22:00:00,230.4,25783.5,2020
2020-12-12,21:03:37,203.1,25986.6,2020
2020-12-13,19:17:21,385.0,26371.6,2020
2020-12-14,15:56:44,115.7,26487.3,2020
2020-12-15,18:14:45,122.9,26610.2,2020
2020-12-16,20:20:31,54.0,26664.2,2020
2020-12-17,20:51:56,130.1,26794.3,2020
2020-12-18,20:15:15,144.0,26938.3,2020
2020-12-19,18:40:06,259.8,27198.1,2020
2020-12-20,20:56:50,368.5,27566.6,2020
2020-12-21,18:26:31,169.7,27736.3,2020
2020-12-22,21:02:47,162.3,27898.6,2020
2020-12-23,21:09:28,238.0,28136.6,2020
2020-12-24,18:51:08,178.8,28315.4,2020
2020-12-26,20:48:47,244.6,28560.0,2020
2020-12-27,19:00:52,393.1,28953.1,2020
2020-12-28,22:15:58,365.6,29318.7,2020
2020-12-29,18:07:28,161.4,29480.1,2020
2020-12-30,20:58:18,182.8,29662.9,2020
2020-12-31,17:53:39,209.9,29872.8,2020
2021-01-02,18:29:53,155.6,30028.4,2020
2021-01-03,18:45:39,98.0,30126.4,2020
2021-01-04,20:23:45,109.4,30235.8,2020
