NUMCAJ,FECHA,year_file
100000001,2020-05-31,2020
100000002,2020-05-31,2020
100000003,2020-05-31,2020
100000004,2020-05-31,2020
100000005,2020-05-31,2020
100000006,2020-05-31,2020
100000007,2020-05-31,2020
100000008,2020-06-01,2020
100000009,2020-06-01,2020
100000010,2020-06-01,2020
100000011,2020-06-01,2020
100000012,2020-06-01,2020
100000013,2020-06-01,2020
100000014,2020-06-01,2020
100000015,2020-06-01,2020
100000016,2020-06-01,2020
100000017,2020-06-01,2020
100000018,2020-06-01,2020
100000019,2020-06-01,2020
100000020,2020-06-01,2020
100000021,2020-06-01,2020
100000022,2020-06-03,2020
100000023,2020-06-03,2020
100000024,2020-06-03,2020
100000025,2020-06-03,2020
100000026,2020-06-03,2020
100000027,2020-06-03,2020
100000028,2020-06-03,2020
100000029,2020-06-03,2020
100000030,2020-06-03,2020
100000031,2020-06-03,2020
100000032,2020-06-04,2020
100000033,2020-06-04,2020
100000034,2020-06-04,2020
100000035,2020-06-04,2020
100000036,2020-06-04,2020
100000037,2020-06-04,2020
100000038,2020-06-04,2020
100000039,2020-06-04,2020
100000040,2020-06-04,2020
100000041,2020-06-04,2020
100000042,2020-06-04,2020
100000043,2020-06-04,2020
100000044,2020-06-04,2020
100000045,2020-06-04,2020
100000046,2020-06-04,2020
100000047,2020-06-08,2020
100000048,2020-06-08,2020
100000049,2020-06-08,2020
100000050,2020-06-09,2020
100000051,2020-06-09,2020
100000052,2020-06-09,2020
100000053,2020-06-09,2020
100000054,2020-06-09,2020
100000055,2020-06-09,2020
100000056,2020-06-09,2020
100000057,2020-06-10,2020
100000058,2020-06-10,2020
100000059,2020-06-10,2020
100000060,2020-06-10,2020
100000061,2020-06-10,2020
100000062,2020-06-10,2020
100000063,2020-06-21,2020
100000064,2020-06-21,2020
100000065,2020-06-21,2020
100000066,2020-06-21,2020
100000067,2020-06-21,2020
100000068,2020-06-21,2020
100000069,2020-06-21,2020
100000070,2020-06-21,2020
100000071,2020-06-21,2020
100000072,2020-06-21,2020
100000073,2020-06-21,2020
100000074,2020-06-21,2020
100000075,2020-06-21,2020
100000076,2020-06-21,2020
100000077,2020-06-21,2020
100000078,2020-06-21,2020
100000079,2020-06-21,2020
100000080,2020-06-21,2020
100000081,2020-06-21,2020
100000082,2020-06-21,2020
100000083,2020-06-21,2020
100000084,2020-06-21,2020
100000085,2020-06-21,2020
100000086,2020-06-21,2020
100000087,2020-06-21,2020
100000088,2020-06-21,2020
100000089,2020-06-21,2020
100000090,2020-06-21,2020
100000091,2020-06-21,2020
100000092,2020-06-21,2020
100000093,2020-06-21,2020
100000094,2020-06-22,2020
100000095,2020-06-22,2020
100000096,2020-06-22,2020
100000097,2020-06-22,2020
100000098,2020-06-22,2020
100000099,2020-06-22,2020
100000100,2020-06-22,2020
100000101,2020-06-22,2020
100000102,2020-06-22,2020
100000103,2020-06-22,2020
100000104,2020-06-22,2020
100000105,2020-06-22,2020
100000106,2020-06-22,2020
100000107,2020-06-22,2020
100000108,2020-06-22,2020
100000109,2020-06-22,2020
100000110,2020-06-22,2020
100000111,2020-06-22,2020
100000112,2020-06-22,2020
100000113,2020-06-22,2020
100000114,2020-06-22,2020
100000115,2020-06-23,2020
100000116,2020-06-23,2020
100000117,2020-06-23,2020
100000118,2020-06-23,2020
100000119,2020-06-23,2020
100000120,2020-06-23,2020
100000121,2020-06-23,2020
100000122,2020-06-23,2020
100000123,2020-06-23,2020
100000124,2020-06-23,2020
100000125,2020-06-23,2020
100000126,2020-06-23,2020
100000127,2020-06-23,2020
100000128,2020-06-23,2020
100000129,2020-06-23,2020
100000130,2020-06-23,2020
100000131,2020-06-23,2020
100000132,2020-06-23,2020
100000133,2020-06-23,2020
100000134,2020-06-23,2020
100000135,2020-06-23,2020
100000136,2020-06-23,2020
100000137,2020-06-23,2020
100000138,2020-06-23,2020
100000139,2020-06-23,2020
100000140,2020-06-23,2020
100000141,2020-06-23,2020
100000142,2020-06-23,2020
100000143,2020-06-23,2020
100000144,2020-06-23,2020
100000145,2020-06-24,2020
100000146,2020-06-24,2020
100000147,2020-06-24,2020
100000148,2020-06-24,2020
100000149,2020-06-24,2020
100000150,2020-06-24,2020
100000151,2020-06-24,2020
100000152,2020-06-24,2020
100000153,2020-06-24,2020
100000154,2020-06-24,2020
100000155,2020-06-24,2020
100000156,2020-06-24,2020
100000157,2020-06-24,2020
100000158,2020-06-24,2020
100000159,2020-06-24,2020
100000160,2020-06-24,2020
100000161,2020-06-24,2020
100000162,2020-06-24,2020
100000163,2020-06-24,2020
100000164,2020-06-24,2020
100000165,2020-06-24,2020
100000166,2020-06-24,2020
100000167,2020-06-24,2020
100000168,2020-06-24,2020
100000169,2020-06-24,2020
100000170,2020-06-24,2020
100000171,2020-06-24,2020
100000172,2020-06-24,2020
100000173,2020-06-24,2020
100000174,2020-06-24,2020
100000175,2020-06-24,2020
100000176,2020-06-24,2020
100000177,2020-06-24,2020
100000178,2020-06-24,2020
100000179,2020-06-24,2020
100000180,2020-06-24,2020
100000181,2020-06-24,2020
100000182,2020-06-24,2020
100000183,2020-06-24,2020
100000184,2020-06-24,2020
100000185,2020-06-24,2020
100000186,2020-06-24,2020
100000187,2020-06-24,2020
100000188,2020-06-24,2020
100000189,2020-06-24,2020
100000190,2020-06-24,2020
100000191,2020-06-24,2020
100000192,2020-06-24,2020
100000193,2020-06-24,2020
100000194,2020-06-24,2020
100000195,2020-06-25,2020
100000196,2020-06-25,2020
100000197,2020-06-25,2020
100000198,2020-06-25,2020
100000199,2020-06-25,2020
100000200,2020-06-25,2020
100000201,2020-06-25,2020
100000202,2020-06-25,2020
100000203,2020-06-25,2020
100000204,2020-06-25,2020
100000205,2020-06-25,2020
100000206,2020-06-25,2020
100000207,2020-06-25,2020
100000208,2020-06-25,2020
100000209,2020-06-25,2020
100000210,2020-06-25,2020
100000211,2020-06-25,2020
100000212,2020-06-25,2020
100000213,2020-06-25,2020
100000214,2020-06-25,2020
100000215,2020-06-25,2020
100000216,2020-06-25,2020
100000217,2020-06-25,2020
100000218,2020-06-25,2020
100000219,2020-06-25,2020
100000220,2020-06-25,2020
100000221,2020-06-25,2020
100000222,2020-06-25,2020
100000223,2020-06-25,2020
100000224,2020-06-25,2020
100000225,2020-06-25,2020
100000226,2020-06-25,2020
100000227,2020-06-26,2020
100000228,2020-06-26,2020
100000229,2020-06-26,2020
100000230,2020-06-26,2020
100000231,2020-06-26,2020
100000232,2020-06-26,2020
100000233,2020-06-26,2020
100000234,2020-06-26,2020
100000235,2020-06-26,2020
100000236,2020-06-26,2020
100000237,2020-06-26,2020
100000238,2020-06-26,2020
100000239,2020-06-26,2020
100000240,2020-06-26,2020
100000241,2020-06-26,2020
100000242,2020-06-26,2020
100000243,2020-06-26,2020
100000244,2020-06-26,2020
100000245,2020-06-26,2020
100000246,2020-06-26,2020
100000247,2020-06-26,2020
100000248,2020-06-26,2020
100000249,2020-06-26,2020
100000250,2020-06-26,2020
100000251,2020-06-26,2020
100000252,2020-06-26,2020
100000253,2020-06-26,2020
100000254,2020-06-26,2020
100000255,2020-06-26,2020
100000256,2020-06-26,2020
100000257,2020-06-26,2020
100000258,2020-06-26,2020
100000259,2020-06-26,2020
100000260,2020-06-26,2020
100000261,2020-06-26,2020
100000262,2020-06-26,2020
100000263,2020-06-26,2020
100000264,2020-06-26,2020
100000265,2020-06-26,2020
100000266,2020-06-26,2020
100000267,2020-06-26,2020
100000268,2020-06-26,2020
100000269,2020-06-26,2020
100000270,2020-06-26,2020
100000271,2020-06-26,2020
100000272,2020-06-27,2020
100000273,2020-06-27,2020
100000274,2020-06-27,2020
100000275,2020-06-27,2020
100000276,2020-06-27,2020
100000277,2020-06-27,2020
100000278,2020-06-27,2020
100000279,2020-06-27,2020
100000280,2020-06-27,2020
100000281,2020-06-27,2020
100000282,2020-06-27,2020
100000283,2020-06-27,2020
100000284,2020-06-27,2020
100000285,2020-06-27,2020
100000286,2020-06-27,2020
100000287,2020-06-27,2020
100000288,2020-06-27,2020
100000289,2020-06-27,2020
100000290,2020-06-27,2020
100000291,2020-06-27,2020
100000292,2020-06-27,2020
100000293,2020-06-27,2020
100000294,2020-06-27,2020
100000295,2020-06-27,2020
100000296,2020-06-27,2020
100000297,2020-06-27,2020
100000298,2020-06-27,2020
100000299,2020-06-27,2020
100000300,2020-06-27,2020
100000301,2020-06-27,2020
100000302,2020-06-27,2020
100000303,2020-06-27,2020
100000304,2020-06-27,2020
100000305,2020-06-27,2020
100000306,2020-06-27,2020
100000307,2020-06-27,2020
100000308,2020-06-27,2020
100000309,2020-06-27,2020
100000310,2020-06-27,2020
100000311,2020-06-27,2020
100000312,2020-06-27,2020
100000313,2020-06-27,2020
100000314,2020-06-27,2020
100000315,2020-06-27,2020
100000316,2020-06-27,2020
100000317,2020-06-27,2020
100000318,2020-06-27,2020
100000319,2020-06-28,2020
100000320,2020-06-28,2020
100000321,2020-06-28,2020
100000322,2020-06-28,2020
100000323,2020-06-28,2020
100000324,2020-06-28,2020
100000325,2020-06-28,2020
100000326,2020-06-28,2020
100000327,2020-06-28,2020
100000328,2020-06-28,2020
100000329,2020-06-28,2020
100000330,2020-06-28,2020
100000331,2020-06-28,2020
100000332,2020-06-28,2020
100000333,2020-06-28,2020
100000334,2020-06-28,2020
100000335,2020-06-28,2020
100000336,2020-06-28,2020
100000337,2020-06-28,2020
100000338,2020-06-28,2020
100000339,2020-06-28,2020
100000340,2020-06-28,2020
100000341,2020-06-28,2020
100000342,2020-06-28,2020
100000343,2020-06-28,2020
100000344,2020-06-28,2020
100000345,2020-06-28,2020
100000346,2020-06-28,2020
100000347,2020-06-28,2020
100000348,2020-06-28,2020
100000349,2020-06-28,2020
100000350,2020-06-28,2020
100000351,2020-06-28,2020
100000352,2020-06-28,2020
100000353,2020-06-28,2020
100000354,2020-06-28,2020
100000355,2020-06-28,2020
100000356,2020-06-28,2020
100000357,2020-06-28,2020
100000358,2020-06-28,2020
100000359,2020-06-28,2020
100000360,2020-06-28,2020
100000361,2020-06-28,2020
100000362,2020-06-28,2020
100000363,2020-06-28,2020
100000364,2020-06-28,2020
100000365,2020-06-28,2020
100000366,2020-06-29,2020
100000367,2020-06-29,2020
100000368,2020-06-29,2020
100000369,2020-06-29,2020
100000370,2020-06-29,2020
100000371,2020-06-29,2020
100000372,2020-06-29,2020
100000373,2020-06-29,2020
100000374,2020-06-29,2020
100000375,2020-06-29,2020
100000376,2020-06-29,2020
100000377,2020-06-29,2020
100000378,2020-06-29,2020
100000379,2020-06-29,2020
100000380,2020-06-29,2020
100000381,2020-06-29,2020
100000382,2020-06-29,2020
100000383,2020-06-29,2020
100000384,2020-06-29,2020
100000385,2020-06-29,2020
100000386,2020-06-29,2020
100000387,2020-06-29,2020
100000388,2020-06-29,2020
100000389,2020-06-29,2020
100000390,2020-06-29,2020
100000391,2020-06-29,2020
100000392,2020-06-29,2020
100000393,2020-06-29,2020
100000394,2020-06-29,2020
100000395,2020-06-29,2020
100000396,2020-06-29,2020
100000397,2020-06-29,2020
100000398,2020-06-29,2020
100000399,2020-06-29,2020
